country,source,year,macro_region,meso_region,development_level,gdp_per_capita,gdp_volume,hdi,ECI,code,country_population_2018,country_population_2018_level,count,relative_1M_count
afghanistan,EFLUX,2013,Asia,Southern Asia,Developing economies,1935.0,70220349482.0,0.496,,AFG,37171922.0,5-50M,2,0.05380405134821923
afghanistan,TED,2012,Asia,Southern Asia,Developing economies,1935.0,70220349482.0,0.496,,AFG,37171922.0,5-50M,1,0.026902025674109615
afghanistan,TED,2013,Asia,Southern Asia,Developing economies,1935.0,70220349482.0,0.496,,AFG,37171922.0,5-50M,2,0.05380405134821923
afghanistan,TED,2014,Asia,Southern Asia,Developing economies,1935.0,70220349482.0,0.496,,AFG,37171922.0,5-50M,1,0.026902025674109615
afghanistan,TED,2015,Asia,Southern Asia,Developing economies,1935.0,70220349482.0,0.496,,AFG,37171922.0,5-50M,1,0.026902025674109615
afghanistan,TED,2016,Asia,Southern Asia,Developing economies,1935.0,70220349482.0,0.496,,AFG,37171922.0,5-50M,2,0.05380405134821923
afghanistan,TED,2018,Asia,Southern Asia,Developing economies,1935.0,70220349482.0,0.496,,AFG,37171922.0,5-50M,2,0.05380405134821923
albania,ART_EDUCATION,2017,Europe,Southern Europe,Transition economies,12930.0,37154193490.0,0.7909999999999999,-0.781571,ALB,2882735.0,1-5M,1,0.3468927945163187
albania,BEHANCE,2011,Europe,Southern Europe,Transition economies,12930.0,37154193490.0,0.7909999999999999,-0.781571,ALB,2882735.0,1-5M,3,1.0406783835489561
albania,BEHANCE,2012,Europe,Southern Europe,Transition economies,12930.0,37154193490.0,0.7909999999999999,-0.781571,ALB,2882735.0,1-5M,8,2.7751423561305497
albania,BEHANCE,2013,Europe,Southern Europe,Transition economies,12930.0,37154193490.0,0.7909999999999999,-0.781571,ALB,2882735.0,1-5M,27,9.366105451940605
albania,BEHANCE,2014,Europe,Southern Europe,Transition economies,12930.0,37154193490.0,0.7909999999999999,-0.781571,ALB,2882735.0,1-5M,24,8.32542706839165
albania,BEHANCE,2015,Europe,Southern Europe,Transition economies,12930.0,37154193490.0,0.7909999999999999,-0.781571,ALB,2882735.0,1-5M,12,4.162713534195825
albania,BEHANCE,2016,Europe,Southern Europe,Transition economies,12930.0,37154193490.0,0.7909999999999999,-0.781571,ALB,2882735.0,1-5M,10,3.468927945163187
albania,BEHANCE,2017,Europe,Southern Europe,Transition economies,12930.0,37154193490.0,0.7909999999999999,-0.781571,ALB,2882735.0,1-5M,14,4.856499123228462
albania,BEHANCE,2018,Europe,Southern Europe,Transition economies,12930.0,37154193490.0,0.7909999999999999,-0.781571,ALB,2882735.0,1-5M,29,10.059891040973243
albania,EFLUX,2010,Europe,Southern Europe,Transition economies,12930.0,37154193490.0,0.7909999999999999,-0.781571,ALB,2882735.0,1-5M,1,0.3468927945163187
albania,EFLUX,2013,Europe,Southern Europe,Transition economies,12930.0,37154193490.0,0.7909999999999999,-0.781571,ALB,2882735.0,1-5M,1,0.3468927945163187
albania,EFLUX,2015,Europe,Southern Europe,Transition economies,12930.0,37154193490.0,0.7909999999999999,-0.781571,ALB,2882735.0,1-5M,1,0.3468927945163187
albania,TED,2011,Europe,Southern Europe,Transition economies,12930.0,37154193490.0,0.7909999999999999,-0.781571,ALB,2882735.0,1-5M,1,0.3468927945163187
albania,TED,2013,Europe,Southern Europe,Transition economies,12930.0,37154193490.0,0.7909999999999999,-0.781571,ALB,2882735.0,1-5M,4,1.3875711780652749
albania,TED,2014,Europe,Southern Europe,Transition economies,12930.0,37154193490.0,0.7909999999999999,-0.781571,ALB,2882735.0,1-5M,1,0.3468927945163187
albania,TED,2015,Europe,Southern Europe,Transition economies,12930.0,37154193490.0,0.7909999999999999,-0.781571,ALB,2882735.0,1-5M,6,2.0813567670979123
albania,TED,2016,Europe,Southern Europe,Transition economies,12930.0,37154193490.0,0.7909999999999999,-0.781571,ALB,2882735.0,1-5M,2,0.6937855890326374
albania,TED,2017,Europe,Southern Europe,Transition economies,12930.0,37154193490.0,0.7909999999999999,-0.781571,ALB,2882735.0,1-5M,1,0.3468927945163187
algeria,BEHANCE,2010,Africa,Northern Africa,Developing economies,15266.0,631867579050.0,0.759,-0.811671,DZA,42228415.0,5-50M,12,0.284168846971879
algeria,BEHANCE,2012,Africa,Northern Africa,Developing economies,15266.0,631867579050.0,0.759,-0.811671,DZA,42228415.0,5-50M,14,0.3315303214671922
